ID     | Command line                                                                                                                                                 | Date and time    | Action(s)      | Altered
   115 | install fuse-devel bzip2-devel libicu-devel libxml2-devel openssl-devel zlib-devel pkgconf                                                                   | 2023-06-28 11:46 | Install        |    1   
   114 | install qemu virt-manager dmg2img git wget libguestfs-tools p7zip                                                                                            | 2023-06-28 11:44 | Install        |   74   
   113 |                                                                                                                                                              | 2023-06-28 11:40 | Install        |    1   
   112 |                                                                                                                                                              | 2023-06-28 11:39 | Install        |    1   
   111 |                                                                                                                                                              | 2023-06-28 11:38 | Install        |    4   
   110 |                                                                                                                                                              | 2023-06-28 11:38 | Install        |    1   
   109 |                                                                                                                                                              | 2023-06-28 11:37 | Install        |    1   
   108 |                                                                                                                                                              | 2023-06-28 11:37 | Install        |   17   
   107 |                                                                                                                                                              | 2023-06-28 11:36 | Install        |    9   
   106 |                                                                                                                                                              | 2023-06-28 11:36 | Install        |    6   
   105 |                                                                                                                                                              | 2023-06-28 11:36 | Install        |    1   
   104 |                                                                                                                                                              | 2023-06-28 11:35 | Install        |    4   
   103 |                                                                                                                                                              | 2023-06-28 11:35 | Install        |    6   
   102 |                                                                                                                                                              | 2023-06-28 11:34 | Install        |  106   
   101 |                                                                                                                                                              | 2023-06-28 11:34 | Install        |    1   
   100 |                                                                                                                                                              | 2023-06-28 11:33 | Install        |    1   
    99 |                                                                                                                                                              | 2023-06-28 11:33 | Install        |   12   
    98 |                                                                                                                                                              | 2023-06-28 11:32 | Install        |    1   
    97 |                                                                                                                                                              | 2023-06-28 11:31 | Install        |    1   
    96 |                                                                                                                                                              | 2023-06-28 11:31 | Install        |    1   
    95 |                                                                                                                                                              | 2023-06-28 11:28 | Install        |    2   
    94 |                                                                                                                                                              | 2023-06-28 11:28 | Install        |    3   
    93 |                                                                                                                                                              | 2023-06-28 11:27 | Install        |    2   
    92 | install dmg2img                                                                                                                                              | 2023-06-28 11:27 | Install        |    1   
    91 | install hfsutils xar                                                                                                                                         | 2023-06-28 11:26 | Install        |    1   
    90 | install xorg-x11-drv-nvidia-cuda                                                                                                                             | 2023-06-28 10:18 | Install        |    3   
    89 |                                                                                                                                                              | 2023-06-28 09:43 | Upgrade        |    1   
    88 |                                                                                                                                                              | 2023-06-28 09:33 | Install        |    5  <
    87 | install docker                                                                                                                                               | 2023-06-27 11:51 | Install        |    3 >E
    86 | update                                                                                                                                                       | 2023-06-27 11:46 | Upgrade        |    2   
    85 | install libusb1-devel                                                                                                                                        | 2023-06-26 09:26 | Install        |    1   
    84 | install glfw-devel turbojpeg-devel                                                                                                                           | 2023-06-26 09:25 | Install        |   15   
    83 | -y install --disablerepo=* /tmp/akmods.mYuNdHVM/results/kmod-nvidia-6.3.8-100.fc37.x86_64-535.54.03-1.fc37.x86_64.rpm                                        | 2023-06-26 09:20 | Upgrade        |    1   
    82 |                                                                                                                                                              | 2023-06-26 09:16 | Upgrade        |   15   
    81 |                                                                                                                                                              | 2023-06-23 11:09 | E, I, U        |   14 E<
    80 | install @development-tools                                                                                                                                   | 2023-06-23 10:48 | Install        |   16 >E
    79 | install turbojpeg turbojpeg-devel                                                                                                                            | 2023-06-23 10:44 | Install        |    2   
    78 | install libusb                                                                                                                                               | 2023-06-23 10:43 | Install        |    1   
    77 | install obs-studio                                                                                                                                           | 2023-06-23 10:41 | Install        |    5   
    76 | install anydesk                                                                                                                                              | 2023-06-22 13:36 | Install        |    1 E<
    75 | install rpmrebuild                                                                                                                                           | 2023-06-22 13:34 | Install        |    1 > 
    74 | install texlive-scheme-full                                                                                                                                  | 2023-06-22 10:54 | Install        | 3809   
    73 | install tex(beamer.cls)                                                                                                                                      | 2023-06-22 10:48 | Install        |    4   
    72 | install texlive-scheme-basic                                                                                                                                 | 2023-06-22 10:47 | Install        |   42   
    71 | install klatexformula                                                                                                                                        | 2023-06-22 10:40 | Install        |  286   
    70 |                                                                                                                                                              | 2023-06-22 09:56 | Upgrade        |    6 EE
    69 | -y install --disablerepo=* /tmp/akmods.I3916KUo/results/kmod-nvidia-6.3.8-100.fc37.x86_64-530.41.03-1.fc37.x86_64.rpm                                        | 2023-06-21 09:47 | Install        |    1   
    68 |                                                                                                                                                              | 2023-06-21 09:43 | C, E, I, U     |   38 EE
    67 |                                                                                                                                                              | 2023-06-16 10:02 | Upgrade        |   20   
    66 | install anki                                                                                                                                                 | 2023-06-15 14:36 | Install        |   72   
    65 | upgrade code                                                                                                                                                 | 2023-06-15 14:20 | Upgrade        |    1  <
    64 |                                                                                                                                                              | 2023-06-15 10:12 | Upgrade        |    1 > 
    63 | -y install --disablerepo=* /tmp/akmods.BpmU21kt/results/kmod-nvidia-6.3.7-100.fc37.x86_64-530.41.03-1.fc37.x86_64.rpm                                        | 2023-06-14 16:05 | Install        |    1   
    62 |                                                                                                                                                              | 2023-06-14 15:59 | E, I, U        |   63   
    61 |                                                                                                                                                              | 2023-06-14 13:03 | Install        |    1   
    60 |                                                                                                                                                              | 2023-06-14 12:54 | Install        |    1   
    59 |                                                                                                                                                              | 2023-06-14 12:54 | Install        |    2   
    58 | -y install --disablerepo=* /tmp/akmods.ig7rQxNU/results/kmod-nvidia-6.3.5-100.fc37.x86_64-530.41.03-1.fc37.x86_64.rpm                                        | 2023-06-07 14:11 | Install        |    1   
    57 |                                                                                                                                                              | 2023-06-07 14:07 | C, E, I, U     |   48   
    56 |                                                                                                                                                              | 2023-06-07 14:02 | Install        |    1   
    55 |                                                                                                                                                              | 2023-06-07 13:48 | Install        |    2   
    54 |                                                                                                                                                              | 2023-06-07 13:44 | Install        |    5   
    53 | install timeshift                                                                                                                                            | 2023-06-07 12:49 | Install        |    1   
    52 |                                                                                                                                                              | 2023-06-01 11:52 | Upgrade        |   19   
    51 | install rclone-browser                                                                                                                                       | 2023-05-31 12:52 | Install        |    1   
    50 | -y install git g++ cmake make qt5-qtdeclarative-devel                                                                                                        | 2023-05-31 12:51 | Install        |   15   
    49 |                                                                                                                                                              | 2023-05-31 11:21 | Install        |    3   
    48 |                                                                                                                                                              | 2023-05-31 11:21 | Install        |    2   
    47 |                                                                                                                                                              | 2023-05-31 11:04 | Install        |    6   
    46 | -y install --disablerepo=* /tmp/akmods.AYDedCus/results/kmod-nvidia-6.3.4-101.fc37.x86_64-530.41.03-1.fc37.x86_64.rpm                                        | 2023-05-31 09:49 | Install        |    1   
    45 |                                                                                                                                                              | 2023-05-31 09:43 | I, U           |   83   
    44 |                                                                                                                                                              | 2023-05-31 09:34 | Upgrade        |    1  <
    43 | install @xfce-desktop-environment                                                                                                                            | 2023-05-26 15:05 | Install        |   65 ><
    42 | localinstall nomachine_7.10.1_1_x86_64.rpm                                                                                                                   | 2023-05-26 14:46 | Install        |    1 >E
    41 | -y install --disablerepo=* /tmp/akmods.c3EVul8n/results/kmod-nvidia-6.2.15-200.fc37.x86_64-530.41.03-1.fc37.x86_64.rpm                                       | 2023-05-26 09:50 | Install        |    1   
    40 | install akmod-nvidia                                                                                                                                         | 2023-05-26 09:47 | Install        |   27 E<
